date|event
1871-01-01|Comienza a regir el Código Civil Argentino, obra del jurisconsulto cordobés Dalmacio Vélez Sarsfield (1800-1875).
1883-01-01|Nace el escritor y periodista ruso-argentino Alberto Gerchunoff, cuyas experiencias juveniles en las colonias agrícolas de Entre Ríos se volcarían en la novela "Los gauchos judíos"
1885-01-01|En La Plata es inaugurada la casa de Dardo Rocha, construida en tan sólo 40 días.
1916-01-01|Nace el escritor, estudioso del tango y abogado franco-argentino Luis Adolfo Sierra, que documentaría la evolución instrumental de la orquesta típica
1974-01-01|Muere el cuentista y periodista bonaerense Manuel Peyrou
1994-01-01|Muere el poeta, novelista y periodista chaqueño Oscar Hermes Villordo, biógrafo de Manuel Mujica Lainez
1758-01-02|Nace el abogado y político Juan José Paso, secretario de la Primera Junta de Gobierno de Argentina
1890-01-02|El jurisconsulto, legislador y escritor Joaquín V. González funda la Universidad Nacional de La Plata
1890-01-02|Nace el jurisconsulto y profesor bonaerense Leónidas Anastasi, fundador de la revista "La Ley"
1833-01-03|El ejército británico se lanza a la ocupación de las Islas Malvinas
1995-01-03|Muere el médico, profesor y filósofo platense Eugenio Pucciarelli, docente en varias universidadesd del país y difusor de la fenomenología, así como historiador del pensamiento argentino
1831-01-04|Las provincias de Buenos Aires, Santa Fe y Entre Ríos firman el Pacto Federal, al que adherirán luego las restantes provincias, que crea una comisión permanente para convocar un Congreso General Federativo destinado a "arreglas la administración general del país bajo el Sistema Federal"
1870-01-04|Aparece el primer número del periódico porteño "La Nación", dirigido por Bartolomé Mitre
1896-01-04|Nace el pintor bonaerense Roberto Rossi, autor de naturalezas muertas de intenso carácter espiritual
1912-01-04|Nace el pintor bonaerense Felipe De la Fuente, de estilo costumbrista
1938-01-04|Se inaugura la Casa del Teatro de Buenos Aires, que aloja a actrices y actores gratuitamente, con el patrocinio de la esposa del presidente Marcelo Torcuato de Alvear, la ex cantante lírica portuguesa Regina Pacini de Alvear
1985-01-04|Muere el grabador belga Víctor Delhez, que desarrolló en Argentina su carrera como xilógrafo e ilustrador
1813-01-05|Las Cortes de Cádiz suprimen el Tribunal de la Inquisición, que en Argentina había dejado de funcionar desde 1810
1898-01-05|Nace el pintor porteño Enrique Policastro, autor de escenas costumbristas de la pampa y los poblados argentinos;
1909-01-05|Nace la novelista, cuentista y dramaturga porteña Luisa Mercedes Levinson, autora de numerosas novelas y obras teatrales;
1939-01-05|Muere por su propia mano el abogado y político rosarino Lisandro De La Torre, fundador del Partido Demócrata Progresista
1956-01-05|Se funda la Universidad Nacional del Sur
1876-01-06|Paraguay y Argentina firman el tratado de límites por el cual este país retiene el territorio de la provincia de Misiones y la franja de los ríos Bermejo y Pilcomayo
1877-01-06|Nace el químico y profesor hispano-argentino Enrique Herrero Ducloux, que ejercería la docencia en la Universidad de la Plata
1880-01-07|Nace el cardenal Santiago Luis Copello, arzobispo de Buenos Aires
1919-01-07|La situación de los obreros de los talleres Vasena se agrava, dando inicio a la Semana Trágica
1766-01-08|Una expedición británica capitaneada por el marino John McBride instala una guarnición y colonos en las Islas Malvinas con el nombre de Port Egmont, el futuro Puerto Soledad, violando el Tratado de Utrecht e ignorando la existencia de una colonia francesa, que luego sería transferida a España y finalmente a Argentina
1904-01-08|Nace la psiquiatra porteña Telma Reca, especialista en problemas de conducta juvenil
1928-01-08|Muere el cirujano y legislador Juan B. Justo, fundador del Partido Socialista y del diario La Vanguardia
1969-01-08|Se funda la Universidad de Concepción del Uruguay, en la provincia de Entre Ríos
1971-01-08|Muere el dramaturgo porteño Armando Discépolo, hermano del compositor Enrique Santos Discépolo y cultor del grotesco criollo
1982-01-08|Muere el escritor platense Álvaro Yunque, nacido Arístides Gandolfi Herrero
1976-01-08|Se publica en Buenos Aires el testamento político del ex presidente Juan Domingo Perón, fallecido tres años antes
1995-01-08|Muere en un accidente automovilístico el boxeador Carlos Monzón, campeón del mundo del peso mediano, en una salida bajo permiso de la cárcel en la que estaba preso por el asesinato de su mujer
1897-01-09|Nace el músico porteño Luis Gianneo, autor de música académica
